identifiant_activite,identifiant_client,recettes_initiales,marge_structurelle,croissance_annuelle,volatilite_recettes,amplitude_saisonniere,mois_pic
ACT-000001,CLT-000001,70862,0.1772,0.0732,0.1741,0.1765,12
ACT-000002,CLT-000002,260939,0.1350,-0.0591,0.1318,0.1746,11
ACT-000003,CLT-000003,736347,0.0623,0.0712,0.1892,0.1700,12
ACT-000004,CLT-000003,111882,0.3118,0.1230,0.2241,0.2437,12
ACT-000005,CLT-000004,107961,0.2911,-0.1325,0.2441,0.6342,12
ACT-000006,CLT-000004,378244,0.3262,0.0118,0.2043,0.6953,9
ACT-000007,CLT-000005,614302,0.1432,0.1765,0.1354,0.5805,12
ACT-000008,CLT-000006,201497,0.0310,0.0176,0.1072,0.2159,11
ACT-000009,CLT-000007,277758,0.1620,0.1276,0.2921,0.2093,12
ACT-000010,CLT-000008,361602,0.2497,-0.0128,0.2615,0.2008,11
ACT-000011,CLT-000009,328855,0.2088,0.1574,0.1560,0.2232,12
ACT-000012,CLT-000009,100928,0.1813,0.1910,0.2546,0.3131,12
ACT-000013,CLT-000010,762171,0.1111,0.0024,0.1539,0.2324,12
ACT-000014,CLT-000010,33851,0.2017,0.0143,0.2958,0.5469,10
ACT-000015,CLT-000011,58077,0.1650,0.0617,0.2854,0.1562,12
ACT-000016,CLT-000011,340352,0.1163,0.1066,0.1273,0.1604,12
ACT-000017,CLT-000012,103909,0.1697,-0.1111,0.1380,0.1820,11
ACT-000018,CLT-000013,178379,0.2894,-0.1653,0.0560,0.1148,9
ACT-000019,CLT-000014,147022,0.2952,0.0169,0.1152,0.2308,10
ACT-000020,CLT-000015,187025,0.0520,0.1493,0.1418,0.1643,12
ACT-000021,CLT-000016,78586,0.1169,-0.0020,0.1769,0.2294,12
ACT-000022,CLT-000017,993210,0.1561,0.0155,0.0798,0.1781,11
ACT-000023,CLT-000018,458727,0.1541,0.1558,0.3067,0.2436,11
ACT-000024,CLT-000019,151129,0.4778,0.1580,0.1671,0.1376,12
ACT-000025,CLT-000020,1265958,0.0751,-0.0536,0.1184,0.1417,12
ACT-000026,CLT-000021,114457,0.2614,0.0133,0.1854,0.2888,12
ACT-000027,CLT-000022,353437,0.4165,0.0371,0.1847,0.1401,8
ACT-000028,CLT-000023,540779,0.1560,0.0705,0.1662,0.2893,12
ACT-000029,CLT-000023,111124,0.1578,-0.0523,0.1334,0.1631,11
ACT-000030,CLT-000024,796053,0.1449,-0.1012,0.1763,0.1986,12
