identifiant_client,identifiant_institution,scenario_comportement,code_personnage,discipline_paiement,vulnerabilite_choc,appetence_credit,propension_sortie,coussin_epargne_initial,choc_tardif,endettement_croissant
CLT-000001,INS-001,S10,,0.8333,0.2019,0.2300,0.0036,0,0,1
CLT-000002,INS-001,S02,,0.7210,0.0899,0.4479,0.0049,0,0,0
CLT-000003,INS-001,S02,,0.7125,0.0408,0.5792,0.0039,0,0,0
CLT-000004,INS-001,S11,,0.9574,0.6356,0.1282,0.0072,0,0,0
CLT-000005,INS-001,S11,,0.8788,0.1236,0.4549,0.0051,22000,0,0
CLT-000006,INS-001,S03,,0.5857,0.5570,0.1867,0.0043,0,0,0
CLT-000007,INS-001,S02,,0.7793,0.2249,0.2181,0.0062,0,0,0
CLT-000008,INS-001,S10,,0.9657,0.3272,0.5452,0.0052,24000,0,1
CLT-000009,INS-001,S02,,0.8530,0.2412,0.5869,0.0054,0,0,0
CLT-000010,INS-001,S06,,0.8894,0.2760,0.2682,0.0044,47000,1,0
CLT-000011,INS-001,S03,,0.6859,0.5962,0.5354,0.0071,0,0,0
CLT-000012,INS-001,S14,,0.7043,0.1911,0.3065,0.0042,44000,0,0
CLT-000013,INS-001,S01,,0.9843,0.8487,0.2167,0.0062,0,0,0
CLT-000014,INS-001,S02,,0.7290,0.2595,0.4931,0.0086,11500,0,0
CLT-000015,INS-001,S02,,0.8384,0.7080,0.1558,0.0042,9500,0,0
CLT-000016,INS-001,S02,,0.7746,0.1681,0.4449,0.0088,23500,0,0
CLT-000017,INS-001,S01,,0.9690,0.3356,0.3724,0.0064,12500,0,0
CLT-000018,INS-001,S02,,0.7845,0.4918,0.3275,0.0016,53000,0,0
CLT-000019,INS-001,S09,,0.6007,0.0825,0.4443,0.0020,0,0,0
CLT-000020,INS-001,S08,,0.8437,0.1738,0.4826,0.0071,73500,0,0
CLT-000021,INS-001,S02,,0.7835,0.4202,0.5582,0.0063,31000,0,0
CLT-000022,INS-001,S04,,0.5310,0.4973,0.1793,0.0041,94500,0,0
CLT-000023,INS-001,S07,,0.9900,0.0771,0.3024,0.0010,111500,0,0
CLT-000024,INS-001,S02,,0.7865,0.0287,0.6471,0.0057,60000,0,0
CLT-000025,INS-001,S09,,0.8875,0.1750,0.4716,0.0056,199000,0,0
CLT-000026,INS-001,S03,,0.6856,0.5398,0.4523,0.0017,45500,0,0
CLT-000027,INS-001,S06,,0.9441,0.3660,0.5261,0.0042,0,1,0
CLT-000028,INS-001,S08,,0.7793,0.4469,0.1054,0.0051,159500,0,0
CLT-000029,INS-001,S04,,0.4662,0.4955,0.2254,0.0041,0,0,0
CLT-000030,INS-001,S06,,0.9305,0.4707,0.5022,0.0030,45500,1,0
CLT-000031,INS-001,S02,,0.8732,0.5572,0.5282,0.0023,12000,0,0
CLT-000032,INS-001,S02,,0.8746,0.3922,0.3826,0.0051,0,0,0
CLT-000033,INS-001,S12,,0.4626,0.4263,0.0566,0.0032,0,0,0
CLT-000034,INS-001,S11,,0.6618,0.5620,0.4118,0.0061,105000,0,0
CLT-000035,INS-001,S03,,0.6378,0.1873,0.1930,0.0050,24500,0,0
CLT-000036,INS-001,S09,,0.8342,0.3229,0.2399,0.0033,48500,0,0
CLT-000037,INS-001,S13,,0.7026,0.3398,0.4680,0.0049,22000,0,0
CLT-000038,INS-001,S06,,0.9325,0.1778,0.2019,0.0085,0,1,0
CLT-000039,INS-001,S01,,0.9744,0.1723,0.8665,0.0063,0,0,0
CLT-000040,INS-001,S02,,0.7927,0.4371,0.4475,0.0010,5000,0,0
CLT-000041,INS-001,S07,,0.9900,0.4799,0.5349,0.0068,10000,0,0
CLT-000042,INS-001,S02,,0.7547,0.2396,0.7191,0.0046,157000,0,0
CLT-000043,INS-001,S02,,0.7248,0.1457,0.0277,0.0056,30500,0,0
CLT-000044,INS-001,S14,,0.6568,0.2988,0.3579,0.0052,71500,0,0
CLT-000045,INS-001,S01,,0.9465,0.7558,0.2046,0.0052,0,0,0
CLT-000046,INS-001,S02,,0.7468,0.3951,0.1910,0.0071,65500,0,0
CLT-000047,INS-001,S12,,0.9271,0.3372,0.2707,0.0064,0,0,0
CLT-000048,INS-001,S02,,0.8871,0.3628,0.7475,0.0030,0,0,0
CLT-000049,INS-001,S03,,0.6916,0.3029,0.5551,0.0052,9500,0,0
CLT-000050,INS-001,S09,,0.9552,0.2436,0.5424,0.0013,0,0,0
CLT-000051,INS-001,S04,,0.3747,0.2478,0.5612,0.0043,22000,0,0
CLT-000052,INS-001,S11,,0.9160,0.0568,0.2791,0.0020,14500,0,0
CLT-000053,INS-001,S13,,0.5747,0.3892,0.7281,0.0046,96000,0,0
CLT-000054,INS-001,S09,,0.7957,0.2612,0.1238,0.0043,47500,0,0
CLT-000055,INS-001,S07,,0.5869,0.5152,0.5435,0.0074,34000,0,0
CLT-000056,INS-001,S03,,0.6022,0.3549,0.5926,0.0038,0,0,0
CLT-000057,INS-001,S07,,0.7040,0.7644,0.8215,0.0099,0,0,0
CLT-000058,INS-001,S13,,0.7556,0.2147,0.5451,0.0078,100000,0,0
CLT-000059,INS-001,S14,,0.8260,0.2754,0.6479,0.0043,56500,0,0
CLT-000060,INS-001,S02,,0.8760,0.1566,0.1957,0.0053,997500,0,0
CLT-000061,INS-001,S07,,0.9034,0.3582,0.2651,0.0021,17500,0,0
CLT-000062,INS-001,S12,,0.5015,0.5244,0.2109,0.0078,0,0,0
CLT-000063,INS-001,S01,,0.9349,0.5268,0.1516,0.0039,31000,0,0
CLT-000064,INS-001,S12,,0.8895,0.1579,0.5915,0.0020,0,0,0
CLT-000065,INS-001,S07,,0.8120,0.3457,0.9429,0.0067,7500,0,0
CLT-000066,INS-001,S02,,0.8104,0.4521,0.4720,0.0036,0,0,0
CLT-000067,INS-001,S01,,0.9253,0.3016,0.1981,0.0047,52500,0,0
CLT-000068,INS-001,S02,,0.8595,0.1867,0.2635,0.0033,0,0,0
CLT-000069,INS-001,S02,,0.7807,0.3077,0.5012,0.0036,12000,0,0
CLT-000070,INS-001,S01,,0.9027,0.3656,0.7007,0.0047,0,0,0
CLT-000071,INS-001,S14,,0.7403,0.3302,0.3536,0.0081,0,0,0
CLT-000072,INS-001,S01,,0.9781,0.8089,0.6848,0.0023,42500,0,0
CLT-000073,INS-001,S02,,0.7637,0.4549,0.4480,0.0042,45000,0,0
CLT-000074,INS-001,S10,,0.5612,0.4971,0.2850,0.0038,0,0,1
CLT-000075,INS-001,S03,,0.6904,0.1165,0.3750,0.0033,76500,0,0
CLT-000076,INS-001,S08,,0.8787,0.3931,0.2065,0.0055,221000,0,0
CLT-000077,INS-001,S02,,0.8820,0.3363,0.3706,0.0074,61000,0,0
CLT-000078,INS-001,S01,,0.9341,0.4659,0.2674,0.0018,99500,0,0
CLT-000079,INS-001,S03,,0.6070,0.4281,0.4091,0.0026,0,0,0
CLT-000080,INS-001,S04,,0.4053,0.6968,0.2794,0.0064,0,0,0
CLT-000081,INS-001,S02,,0.7542,0.1895,0.2285,0.0061,70000,0,0
CLT-000082,INS-001,S02,,0.8238,0.3143,0.2829,0.0069,0,0,0
CLT-000083,INS-001,S01,,0.9674,0.3146,0.2164,0.0027,0,0,0
CLT-000084,INS-001,S12,,0.5929,0.0692,0.2153,0.0060,240000,0,0
CLT-000085,INS-001,S03,,0.6176,0.3454,0.3470,0.0055,0,0,0
CLT-000086,INS-001,S04,,0.4531,0.5540,0.4096,0.0065,3500,0,0
CLT-000087,INS-001,S02,,0.7524,0.2663,0.4925,0.0069,15000,0,0
CLT-000088,INS-001,S03,,0.6941,0.5350,0.0316,0.0056,0,0,0
CLT-000089,INS-001,S09,,0.7304,0.2542,0.3917,0.0026,304500,0,0
CLT-000090,INS-001,S05,,0.3400,0.6685,0.5151,0.0070,14000,0,0
CLT-000091,INS-001,S02,,0.8456,0.3327,0.6441,0.0034,34500,0,0
CLT-000092,INS-001,S02,,0.7134,0.6181,0.2064,0.0049,0,0,0
CLT-000093,INS-001,S02,,0.7161,0.2360,0.6336,0.0053,37500,0,0
CLT-000094,INS-001,S01,,0.9376,0.4651,0.6679,0.0051,30500,0,0
CLT-000095,INS-001,S09,,0.8569,0.1681,0.6326,0.0055,39000,0,0
CLT-000096,INS-001,S04,,0.3889,0.3242,0.4412,0.0047,35000,0,0
CLT-000097,INS-001,S04,,0.5052,0.4291,0.4513,0.0042,234500,0,0
CLT-000098,INS-001,S03,,0.6721,0.7397,0.2906,0.0010,24500,0,0
CLT-000099,INS-001,S03,,0.6334,0.6118,0.2511,0.0080,0,0,0
CLT-000100,INS-001,S08,,0.9152,0.2994,0.3302,0.0060,16000,0,0
CLT-000101,INS-001,S03,,0.5674,0.4094,0.6869,0.0076,24500,0,0
